,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.9682,-0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,-0.0016,0.0000,0.0000
2,2,239.9361,0.0037,-0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0068,0.0000,-0.0036
3,3,239.6274,0.0253,-0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0861,0.0000,-0.0045,0.0000,60.0000,1.9536,-0.0045,0.0000,0.0000,-0.0045,0.0000,0.0000,0.0000,50.0000,0.0319,-0.0045,-0.0016
4,4,239.5311,0.0725,-0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0861,0.0000,0.0000,-0.0045,60.0000,2.6181,-0.0045,0.0000,0.0000,-0.0045,0.0000,0.0000,0.0000,50.0000,0.0659,-0.0045,0.0012
5,5,239.2539,0.0847,0.0200,-0.0047,0.0000,0.0000,0.0000,0.0000,-0.0896,0.0000,-0.0047,0.0000,-0.0861,0.0000,0.0000,-0.0045,60.0000,3.2590,-0.0045,0.0000,-0.0047,-0.0045,0.0000,0.0000,0.0000,50.0000,0.0875,-0.0036,0.0244
6,6,239.2281,0.0552,0.0611,0.0013,0.0000,0.0000,0.0000,0.0000,-0.0896,0.0000,-0.0047,0.0000,-0.0861,0.0000,0.0000,-0.0045,60.0000,3.8985,-0.0045,0.0000,-0.0047,-0.0045,0.0000,0.0000,0.0000,50.0000,0.1057,-0.0036,0.0560
7,7,239.2096,0.0543,0.0634,0.0072,0.0000,0.0000,0.0000,0.0000,-0.0896,0.0000,-0.0047,0.0000,-0.0861,0.0000,0.0000,-0.0045,60.0000,4.6103,-0.0045,0.0000,-0.0047,-0.0045,0.0000,0.0000,0.0000,50.0000,0.1158,-0.0036,0.0600
8,8,239.1021,0.0793,0.0496,0.0292,0.0000,0.0000,0.0000,0.0000,-0.0896,0.0000,-0.0047,0.0000,-0.0861,0.0000,0.0000,-0.0045,60.0000,5.1943,-0.0045,0.0000,-0.0047,-0.0045,0.0000,0.0000,0.0000,50.0000,0.1372,-0.0036,0.0474
9,9,238.0938,0.0853,0.0311,0.0253,0.1486,-0.0110,0.0055,-0.0099,-0.0896,0.0000,-0.0047,0.0000,-0.0647,0.0000,-0.0092,-0.0045,119.8415,5.7635,-0.0035,0.0099,-0.0047,-0.0035,0.0000,0.0000,0.0000,50.0000,0.1556,0.0204,0.0637
10,10,237.9942,0.1188,0.0400,0.0338,0.1486,-0.0070,-0.0037,-0.0050,-0.0896,0.0000,-0.0047,0.0000,-0.0647,0.0000,-0.0046,-0.0035,119.8415,6.5269,-0.0035,0.0099,-0.0047,-0.0035,0.0000,0.0000,0.0000,50.0000,0.1742,0.0204,0.0656
11,11,237.8255,0.1593,0.0900,0.0338,0.1486,-0.0047,-0.0104,-0.0009,-0.0896,0.0000,-0.0047,0.0000,-0.0647,0.0000,-0.0046,-0.0035,119.8415,7.2151,-0.0035,0.0099,-0.0047,-0.0035,0.0000,0.0000,0.0000,50.0000,0.2087,0.0204,0.0914
